FEE	Channel	   Offset	Peaks	       INL	Comment
9	31	   115.567	9	   0.99999	
9	32	  -77.3889	9	  0.999942	
9	33	   58.4333	10	  0.999986	
9	34	      91.1	10	   0.99999	
9	35	      -227	9	  0.999982	
9	36	      -1.7	10	  0.999981	
9	37	  -158.433	10	  0.999992	
9	38	   272.033	10	  0.999975	
9	39	   330.367	10	  0.999975	
9	40	   20.2333	10	  0.999976	
9	41	  -35.3667	10	  0.999981	
9	42	   30.8333	10	  0.999977	
9	43	   119.367	10	  0.999983	
9	44	   70.9667	10	  0.999976	
9	45	  -14.3667	10	  0.999977	
9	46	  -71.5667	10	  0.999983	
9	47	     108.7	10	  0.999977	
9	48	   191.367	10	  0.999945	
9	49	     139.5	10	  0.999991	
9	50	   26.1667	10	  0.999994	
9	51	   102.767	10	  0.999988	
9	52	     103.9	10	  0.999959	
9	53	   74.9667	10	  0.999975	
9	54	   79.8333	10	  0.999955	
9	55	  -146.081	8	  0.999958	
9	56	  -29.9162	8	  0.999875	
9	57	   50.7667	10	  0.999936	
9	58	   -105.44	4	  0.999992	Few Peaks
9	60	  -32.3667	10	   0.99996	
9	61	   106.233	10	  0.999948	
9	62	   185.029	9	  0.997168	Bad Fit 
9	63	    -324.1	10	  0.999953	
9	64	  -233.967	10	  0.999971	
10	1	   531.566	8	  0.970719	Bad Fit 
10	2	   634.457	5	  0.976284	Bad Fit Few Peaks
10	3	   60.6136	8	  0.990827	Bad Fit 
10	4	   410.283	9	  0.989424	Bad Fit 
10	5	  -430.156	8	  0.992747	Bad Fit 
10	6	   136.889	8	  0.999417	
10	7	    -103.8	9	   0.99973	
10	8	   168.567	9	  0.999906	
10	9	   243.567	10	  0.998473	Bad Fit 
10	10	   84.8355	7	  0.999336	Few Peaks
10	11	   37.8534	8	  0.999962	
10	12	   102.462	8	  0.999867	
10	13	   117.989	9	  0.999979	
10	14	   309.767	9	  0.999983	
10	15	  -42.5556	9	   0.99996	
10	16	     -13.4	9	  0.999955	
10	17	     -54.7	9	  0.999967	
10	18	  -64.2556	9	  0.999985	
10	19	      93.9	10	  0.999564	
10	20	   9.91353	8	  0.999895	
10	21	     171.7	10	  0.999291	
10	22	   173.778	9	  0.999909	
10	23	  -83.3556	9	  0.999984	
10	24	  -124.333	8	  0.999781	
10	25	     -26.9	9	  0.999905	
10	26	   236.929	8	  0.999798	
10	27	  -43.4778	9	  0.999954	
10	28	   90.9444	9	  0.999985	
10	29	  -27.4667	9	  0.999979	
10	30	  -16.9222	9	  0.999993	
10	31	      34.7	9	  0.999995	
10	32	  -138.667	9	  0.999972	
10	33	     108.4	9	  0.999986	
10	34	   5.03333	10	  0.999982	
10	35	  -218.633	9	  0.999979	
10	36	  -19.3667	10	  0.999959	
10	37	     -78.9	10	  0.999988	
10	38	      95.5	9	  0.999986	
10	39	     122.3	10	  0.999965	
10	40	   149.289	9	  0.999969	
10	41	     -15.7	10	  0.999974	
10	42	   82.5667	10	  0.999971	
10	43	  -65.1667	10	  0.999941	
10	44	  -40.4333	10	  0.999964	
10	45	     -70.7	10	  0.999948	
10	46	   97.6333	10	   0.99997	
10	47	  -99.8333	10	  0.999972	
10	48	  -166.633	10	  0.999913	
10	49	    -142.5	10	   0.99998	
10	50	   233.033	10	  0.999991	
10	51	     203.7	10	  0.999984	
10	52	     206.3	10	  0.999964	
10	53	      -5.3	10	  0.999977	
10	54	     -75.9	10	  0.999906	
10	55	  -285.367	10	  0.999872	
10	56	   510.222	9	  0.999794	
10	57	   336.167	10	   0.99995	
10	58	     188.3	10	  0.999971	
10	59	  -129.567	10	  0.999978	
10	60	  -18.9667	10	  0.999901	
10	61	     -32.7	10	   0.99993	
10	62	   72.2333	10	  0.999972	
10	63	  -88.6333	10	  0.999968	
10	64	  -109.967	10	  0.999968	
11	1	   46.6333	10	  0.999933	
11	2	   117.089	9	  0.999514	
11	3	   157.767	10	  0.999984	
11	4	  -186.967	10	  0.999953	
11	5	      64.5	10	  0.999922	
11	6	  -75.8333	10	  0.999954	
11	7	  -157.433	10	  0.999986	
11	8	     -54.5	10	  0.999972	
11	9	  -204.633	10	  0.999981	
11	10	  -26.6333	10	  0.999968	
11	11	  -86.1667	10	  0.999974	
11	12	  -51.4333	10	  0.999986	
11	13	  -1.96667	10	  0.999933	
11	14	  -139.233	10	  0.999983	
11	15	    -302.3	10	   0.99993	
11	16	  -113.367	10	  0.999951	
11	17	  -155.233	10	  0.999994	
11	18	   51.1667	10	  0.999967	
11	19	     -50.7	10	   0.99997	
11	20	      32.9	10	  0.999985	
11	21	   34.2333	10	  0.999957	
11	22	   51.5667	10	  0.999992	
11	23	   45.1667	10	  0.999984	
11	24	  -14.0333	10	  0.999961	
11	25	   64.6333	10	  0.999984	
11	26	     138.3	10	  0.999972	
11	27	  -4.96667	10	  0.999923	
11	28	   207.567	10	  0.999992	
11	29	     195.9	10	   0.99997	
11	30	   47.3667	10	  0.999984	
11	31	     146.9	10	   0.99998	
11	32	   83.4333	10	  0.999898	
11	33	  -41.4333	10	  0.999968	
11	34	   75.7667	10	  0.999951	
11	35	  -204.633	10	  0.999961	
11	36	   85.1667	10	  0.999982	
11	37	   24.5667	10	  0.999981	
11	38	   149.883	9	  0.975959	Bad Fit 
11	39	     136.3	10	  0.999936	
11	40	   181.167	10	  0.999935	
11	41	      37.1	10	  0.999991	
11	42	      36.1	10	  0.999981	
11	43	  -1.63333	10	  0.999973	
11	44	     150.7	10	  0.999952	
11	45	    -162.1	10	  0.999914	
11	46	  -118.167	10	  0.999988	
11	47	      58.1	10	  0.999969	
11	48	   11.7778	9	  0.999811	
11	49	  -88.4333	10	  0.999818	
11	50	   110.056	9	  0.999721	
11	51	  -4.33333	9	  0.999839	
11	52	  -53.4333	10	  0.999887	
11	53	     135.9	10	  0.999937	
11	54	    -291.3	9	  0.999718	
11	55	  -139.622	9	  0.999715	
11	56	   349.633	10	  0.999185	
11	57	     214.9	10	  0.999926	
11	58	  -17.5667	10	  0.999964	
11	59	   144.833	10	  0.999976	
11	60	  -74.3778	9	  0.999956	
11	61	  -177.967	10	  0.999886	
11	62	   37.8778	9	   0.99997	
11	63	  -160.389	9	  0.999979	
11	64	   35.3667	10	  0.999949	
12	1	   78.3667	10	  0.999913	
12	2	  -86.3667	10	  0.999913	
12	3	  -60.7667	10	  0.999973	
12	4	    -272.7	10	  0.999978	
12	5	   41.0333	10	  0.999935	
12	6	    -193.1	10	  0.999987	
12	7	      25.9	10	  0.999987	
12	8	  -3.63333	10	  0.999979	
12	9	  -33.1667	10	  0.999989	
12	10	  -1.16667	10	  0.999973	
12	11	   51.5667	10	  0.999989	
12	12	   204.433	10	   0.99999	
12	13	    -278.9	10	  0.999964	
12	14	  -244.767	10	   0.99999	
12	15	  -15.3667	10	  0.999956	
12	16	  -90.3667	10	  0.999921	
12	17	   213.833	10	  0.999989	
